date,ic_scores
2022-09-06,0.015788552929579938
2022-09-07,-0.07683897239194147
2022-09-08,0.06162466561363858
2022-09-09,-0.06527866638894717
2022-09-12,-0.03033846691367776
2022-09-13,-0.015075143788292583
2022-09-14,-0.04552465856170269
2022-09-15,0.20046366216965128
2022-09-16,0.0732776867378158
2022-09-19,-0.06250505481849562
2022-09-20,0.0003476968653704151
2022-09-21,0.04642250742389527
2022-09-22,0.007283666833149057
2022-09-23,0.030932726929310678
2022-09-26,-0.025769237067116625
2022-09-27,-0.2381148619004923
2022-09-28,-0.06449896141366196
2022-09-29,-0.07190670615459768
2022-09-30,0.18290581700424766
2022-10-03,0.018906178338227022
2022-10-04,-0.11791318179702935
2022-10-05,-0.1496987265963459
2022-10-06,-0.15146428604312664
2022-10-07,0.061997103056791514
